I,SoC,V
-11.9,37,543.2
-12,37,542.8
-11.8,37,543
-11.9,37,542.3
-11.9,37,542.3
-11.9,37,542.4
-11.9,37,542.4
-11.8,37,541.7
-11.9,37,542.3
-12,37,542.1
-12,37,542.1
-11.8,37,542.4
-11.8,37,542.1
-11.8,37,543
-11.8,37,543
-11.9,37,542.1
-12,37,542.8
-12,37,542.8
-11.9,37,543
-11.8,37,541.7
-12,37,542.4
-12,37,542.4
-11.8,37,543
-11.8,37,542.3
-11.9,37,542.1
-11.8,37,542.8
-11.8,37,542.8
-11.8,37,542.8
-12,37,542.1
-12,37,543
-12,37,542.4
-12,37,542.4
-12,37,542.1
-11.9,37,542.3
-11.9,37,542.3
-12,37,542.1
-12,37,542.3
-12,37,542.1
-12,37,541.7
-12,37,542.1
-12,37,541.7
-11.9,37,541.7
-12,37,542.1
-12,37,542.3
-12,37,541.7
-11.8,37,542.1
-11.9,37,542.1
-11.9,37,542.3
-11.9,37,542.1
-11.9,37,542.1
-11.8,37,542.1
-12,37,541.7
-12,37,542.1
-11.8,37,542.4
-11.8,37,541.9
-11.8,37,542.1
-11.8,37,542.3
-12,37,542.3
-11.9,37,542.1
-12,37,542.4
-12,37,542.1
-12,37,542.4
-12,37,541.7
-11.9,37,541.7
-11.8,37,541.7
-11.8,37,542.1
-12,37,541.9
-11.8,37,542.1
-11.8,37,542.1
-11.8,37,541.7
-11.8,37,541.7
-11.9,37,541.9
-12,37,541.7
-11.9,37,542.1
-12,37,542.1
-12,37,541.9
-11.8,37,541.7
-11.8,37,542.3
-11.9,37,542.1
-11.8,37,542.1
-11.8,37,542.3
-11.8,37,542.1
-11.9,37,541.5
-11.9,37,541.9
-11.8,37,542.1
-11.8,37,541.7
-11.8,37,542.8
-11.8,37,541.7
-12.3,37,542.1
-12.4,37,542.3
-12.4,37,542.3
-12.4,37,542.1
-12.4,37,542.1
-12.4,37,541.7
-12.5,37,542.1
-12.4,37,542.3
-12.4,37,541.5
-12.6,37,541.7
-12.6,37,542.4
-12.5,37,542.4
-12.4,37,541.9
-12.4,37,541.3
-12.5,37,542.3
-12.6,37,541.7
-12.5,37,542.3
-12.6,37,541.7
-12.6,37,541.7
-12.6,37,541.7
-12.5,36,541.3
-12.5,36,542.1
-12.6,36,541.9
-12.5,36,541.7
-12.5,36,541.7
-12.6,36,541.7
-12.6,36,541.7
-12.6,36,542.1
-12.5,36,541.7
-12.5,36,541.7
-12.5,36,541.7
-12.5,36,541.5
-12.5,36,541.5
-12.6,36,542.1
-12.5,36,541.9
-12.6,36,541.7
-12.5,36,540.8
-12.5,36,540.8
-12.4,36,541.9
-12.6,36,542.3
-12.4,36,541.7
-12.4,36,541.7
-12.4,36,541.7
-12.4,36,540.6
-12.5,36,542.1
-12.5,36,541.7
-12.6,36,542.3
-12.6,36,542.3
-12.4,36,541.7
-12.6,36,542.1
-12.6,36,542.1
-12.5,36,541.5
-12.6,36,541.5
-12.5,36,540.8
-12.6,36,541.7
-12.5,36,540.8
-12.5,36,541.7
-12.4,36,541.7
-12.4,36,541.7
-12.4,36,541.5
-12.5,36,540.8
-12.5,36,540.8
-12.5,36,540.8
-12.4,36,540.6
-12.4,36,540.6
-12.4,36,542.3
-12.4,36,540.8
-12.4,36,542.3
-12.5,36,541.5
-12.6,36,541.7
-12.6,36,541.5
-12.5,36,541.5
-12.4,36,542.1
-12.4,36,541.7
-12.4,36,541.7
-12.4,36,541.7
-12.4,36,541.7
-12.6,36,542.1
-12.4,36,540.8
-12.4,36,541.7
-12.4,36,541.5
-12.4,36,541.5
-12.6,36,541.5
-12.4,36,541.5
-12.4,36,541.5
-12.4,36,541.7
-12.5,36,541.7
-12.6,36,540.8
-12.6,36,541.7
-12.5,36,541.7
-12.4,36,541.5
-10.7,36,542.1
-9.2,36,540.8
-9.1,36,540.6
-9.1,36,542.1
-9.3,36,540.8
-9.2,36,541.5
-9.1,36,541.5
-9.1,36,542.3
-9.1,36,542.1
-9.3,36,542.3
-9.2,36,540.8
-9.3,36,542.4
-9.3,36,542.4
-9.3,36,541.7
-9.3,36,541.7
-9.2,36,541.9
-9.2,36,541.7
-9.1,36,541.7
-9.2,36,542.1
-9.3,36,542.1
-9.1,36,541.7
-9.1,36,541.7
-9.1,36,541.7
-9.3,36,540.8
-9.3,36,541.7
-9.2,36,541.7
-9.2,36,541.7
-9.1,36,541.7
-9.1,36,541.5
-9.2,36,540.8
-9.1,36,541.7
-9.1,36,541.9
-9.1,36,541.9
-9.1,36,540.8
-9.1,36,540.8
-9.3,36,542.1
-9.1,36,541.7
-9.1,36,542.1
-9.3,36,541.7
-9.3,36,541.5
-9.3,36,541.7
-9.2,36,541.5
-9.1,36,541.7
-9.1,36,541.7
-9.3,36,541.7
-9.3,36,541.7
-9.2,36,541.7
-9.2,36,541.7
-9.4,36,541.7
-9.3,36,540.8
-9.3,36,540.8
-9.1,36,541.5
-9.1,36,541.5
-9.1,36,541.5
-9.3,36,541.5
-9.2,36,541.5
-9.2,36,541.5
-9.2,36,541.7
-9.3,36,541.7
-9.2,36,540.8
-9.2,36,540.8
-9.1,36,541.7
-9.1,36,542.1
-9.4,36,541.7
-9.4,36,541.7
-9.2,36,541.5
-9.1,36,541.7
-9.1,36,541.7
-9.1,36,540.8
-9.1,36,541.5
-9.1,36,541.7
-9.1,36,541.5
-9.1,36,541.7
-9.1,36,541.7
-9.1,36,541.7
-9.2,36,540.8
-9.1,36,541.5
-9.2,36,542.1
-9.3,36,541.7
-9.3,36,540.6
-9.1,36,542.3
-9.2,36,541.7
-9.3,36,540.8
-9.3,36,541.7
-9.3,35,541.7
-9.3,35,542.1
-9.3,35,542.1
-9.2,35,541.7
-9.1,35,542.1
-9.1,35,540.8
-9.1,35,541.7
-5.9,35,541.7
-5.9,35,541.7
-5.9,35,542.3
-5.9,35,542.3
-5.8,35,542.1
-6,35,541.7
-5.8,35,541.7
-6,35,541.9
-5.9,35,542.1
-6,35,541.5
-5.9,35,542.4
-5.9,35,542.3
-5.8,35,542.3
-5.8,35,542.1
-5.9,35,542.3
-6,35,542.3
-5.9,35,541.5
-6,35,541.7
-5.8,35,541.7
-6,35,542.1
-6,35,541.7
-6,35,542.4
-6,35,542.4
-6,35,541.7
-6,35,541.9
-6,35,542.4
-6,35,541.7
-6,35,541.7
-6,35,541.7
-6,35,541.7
-5.9,35,543
-6,35,542.3
-6,35,542.1
-5.9,35,542.1
-6,35,542.1
-6,35,541.7
-6.1,35,542.3
-6,35,541.7
-5.9,35,542.3
-5.8,35,542.3
-6,35,542.3
-5.8,35,541.7
-5.8,35,542.3
-5.8,35,542.3
-5.8,35,541.5
-5.9,35,542.3
-5.8,35,542.3
-5.8,35,542.1
-5.8,35,541.9
-5.8,35,542.3
-5.8,35,543
-5.9,35,541.7
-5.9,35,542.3
-5.9,35,542.3
-5.8,35,541.5
-6,35,542.3
-6,35,542.3
-6,35,542.8
-6,35,541.7
-6,35,541.7
-6,35,542.1
-6,35,541.7
-6,35,541.7
-6,35,541.7
-5.9,35,542.3
-5.8,35,542.1
-5.8,35,542.1
-6,35,542.1
-6,35,542.4
-6,35,541.7
-6,35,541.7
-6,35,542.1
-5.9,35,541.7
