soc,c,temp,soh
70,11584.876534147626,40,0.8
80,11525.45162021256,40,0.8
90,13251.724016859047,40,0.8
100,12515.920642823317,40,0.8
0,31455.64657944983,40,0.8
10,24064.675307627316,40,0.8
20,18065.670033562412,40,0.8
30,18326.485735591785,40,0.8
40,13199.603420348292,40,0.8
50,15175.334656793886,40,0.8
60,22082.703495604816,40,0.8
70,13901.851840977148,40,0.8
80,13830.54194425507,40,0.8
90,15902.06882023086,40,0.8
100,15019.104771387982,40,0.8
0,36698.25434269146,40,0.8
10,28075.454525565212,40,0.8
20,21076.615039156146,40,0.8
30,21380.90002485708,40,0.8
40,15399.537323739678,40,0.8
50,17704.557099592865,40,0.8
60,25763.154078205618,40,0.8
70,16218.827147806678,40,0.8
80,16135.632268297582,40,0.8
90,18552.41362360267,40,0.8
100,17522.288899952644,40,0.8
0,41940.862105933105,40,0.8
10,32086.233743503093,40,0.8
20,24087.56004474988,40,0.8
30,24435.314314122377,40,0.8
40,17599.47122713106,40,0.8
50,20233.77954239185,40,0.8
60,29443.604660806417,40,0.8
70,18535.802454636203,40,0.8
80,18440.72259234009,40,0.8
90,21202.75842697448,40,0.8
100,20025.473028517306,40,0.8
0,15727.82328972491,40,0.7
10,12032.337653813658,40,0.7
20,9032.835016781202,40,0.7
30,9163.242867795889,40,0.7
40,6599.801710174146,40,0.7
50,7587.667328396941,40,0.7
60,11041.351747802404,40,0.7
70,6950.925920488575,40,0.7
80,6915.270972127533,40,0.7
90,7951.034410115428,40,0.7
100,7509.552385693989,40,0.7
0,19659.77911215614,40,0.7
10,15040.42206726707,40,0.7
20,11291.043770976503,40,0.7
30,11454.053584744861,40,0.7
40,8249.752137717682,40,0.7
50,9484.584160496175,40,0.7
60,13801.689684753006,40,0.7
70,8688.657400610718,40,0.7
80,8644.088715159418,40,0.7
90,9938.793012644282,40,0.7
100,9386.940482117487,40,0.7
0,23591.734934587366,40,0.7
10,18048.506480720484,40,0.7
20,13549.252525171803,40,0.7
30,13744.864301693833,40,0.7
40,9899.702565261217,40,0.7
50,11381.500992595411,40,0.7
60,16562.027621703608,40,0.7
70,10426.388880732859,40,0.7
80,10372.9064581913,40,0.7
90,11926.551615173143,40,0.7
100,11264.328578540983,40,0.7
0,27523.690757018594,40,0.7
10,21056.590894173904,40,0.7
20,15807.461279367106,40,0.7
30,16035.675018642807,40,0.7
40,11549.652992804757,40,0.7
50,13278.417824694647,40,0.7
60,19322.365558654208,40,0.7
70,12164.120360855006,40,0.7
80,12101.724201223184,40,0.7
90,13914.310217702001,40,0.7
100,13141.716674964482,40,0.7
0,31455.64657944982,40,0.7
10,24064.675307627316,40,0.7
20,18065.670033562405,40,0.7
30,18326.485735591777,40,0.7
40,13199.603420348292,40,0.7
50,15175.334656793882,40,0.7
60,22082.70349560481,40,0.7
70,13901.85184097715,40,0.7
80,13830.541944255066,40,0.7
90,15902.068820230856,40,0.7
100,15019.104771387978,40,0.7
0,10485.215526483275,40,0.6
10,8021.558435875772,40,0.6
20,6021.890011187469,40,0.6
30,6108.828578530593,40,0.6
40,4399.867806782764,40,0.6
50,5058.444885597962,40,0.6
60,7360.901165201604,40,0.6
70,4633.95061365905,40,0.6
80,4610.180648085023,40,0.6
90,5300.689606743619,40,0.6
100,5006.368257129327,40,0.6
0,13106.519408104092,40,0.6
10,10026.948044844714,40,0.6
20,7527.362513984336,40,0.6
30,7636.0357231632415,40,0.6
40,5499.834758478454,40,0.6
50,6323.056106997451,40,0.6
60,9201.126456502005,40,0.6
70,5792.438267073812,40,0.6
80,5762.725810106279,40,0.6
90,6625.862008429523,40,0.6
100,6257.960321411658,40,0.6
0,15727.82328972491,40,0.6
10,12032.337653813656,40,0.6
20,9032.835016781204,40,0.6
30,9163.24286779589,40,0.6
40,6599.801710174145,40,0.6
50,7587.667328396942,40,0.6
60,11041.351747802406,40,0.6
70,6950.925920488574,40,0.6
80,6915.270972127534,40,0.6
90,7951.034410115429,40,0.6
100,7509.55238569399,40,0.6
0,18349.12717134573,40,0.6
10,14037.727262782602,40,0.6
20,10538.307519578071,40,0.6
30,10690.450012428539,40,0.6
40,7699.768661869838,40,0.6
50,8852.278549796432,40,0.6
60,12881.577039102807,40,0.6
70,8109.413573903337,40,0.6
80,8067.81613414879,40,0.6
90,9276.206811801334,40,0.6
100,8761.144449976322,40,0.6
0,20970.43105296655,40,0.6
10,16043.116871751545,40,0.6
20,12043.780022374938,40,0.6
30,12217.657157061187,40,0.6
40,8799.735613565528,40,0.6
50,10116.889771195923,40,0.6
60,14721.802330403209,40,0.6
70,9267.9012273181,40,0.6
80,9220.361296170046,40,0.6
90,10601.379213487238,40,0.6
100,10012.736514258653,40,0.6
